LinkRole,http://www.xbrl.org/2003/role/link,,,,,,,,,,,,,,,,
Definition,,,,,,,,,,,,,,,,,
,,,,,,ref,,,,,,,,,,,
1897,ifrs-full,ReserveForCatastropheMember,비상위험준비금 [구성요소],,http://www.xbrl.org/2003/role/disclosureRef,IFRS,4,IG58,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_IG58&doctype=Implementation%20Guidance&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1898,ifrs-full,ReserveOfGainsAndLossesOnRemeasuringAvailableforsaleFinancialAssets,매도가능금융자산의 재측정손익 적립금,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,78,2021-01-01,e,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_78_e&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1899,ifrs-full,ReserveForEqualisationMember,평준화준비금 [구성요소],,http://www.xbrl.org/2003/role/exampleRef,IAS,1,108,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_108&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1900,ifrs-full,ReserveForEqualisationMember,평준화준비금 [구성요소],,http://www.xbrl.org/2003/role/disclosureRef,IFRS,4,IG58,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_IG58&doctype=Implementation%20Guidance&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1901,ifrs-full,ReserveForCatastrophe,비상위험준비금,,http://www.xbrl.org/2003/role/exampleRef,IAS,1,78,2021-01-01,e,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_78_e&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1902,ifrs-full,ReserveForCatastrophe,비상위험준비금,,http://www.xbrl.org/2003/role/disclosureRef,IFRS,4,IG58,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_IG58&doctype=Implementation%20Guidance&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1903,ifrs-full,DisclosureOfAvailableforsaleAssetsExplanatory,매도가능금융자산에 대한 공시 [문장영역],,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,10,2021-01-01,e,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_10_e&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1904,ifrs-full,ReserveForEqualisation,평준화준비금,,http://www.xbrl.org/2003/role/exampleRef,IAS,1,78,2021-01-01,e,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_78_e&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1905,ifrs-full,ReserveForEqualisation,평준화준비금,,http://www.xbrl.org/2003/role/disclosureRef,IFRS,4,IG58,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_IG58&doctype=Implementation%20Guidance&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1906,ifrs-full,GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,매도가능금융자산의 세후재측정이익(손실),,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,91,2021-01-01,a,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_91_a&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1907,ifrs-full,GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,매도가능금융자산의 세후재측정이익(손실),,http://www.xbrl.org/2003/role/disclosureRef,IFRS,7,20,2021-01-01,a,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=7&code=ifrs-tx-2017-en-b&anchor=para_20_a_ii&doctype=Standard&book=b,2021-03-24,ii,Expiry date 2023-01-01,,dart_all,
1908,ifrs-full,AssetsUnderReinsuranceCeded,재보험의 출재에 따른 자산,,http://www.xbrl.org/2003/role/exampleRef,IAS,1,55,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_55&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1909,ifrs-full,AssetsUnderReinsuranceCeded,재보험의 출재에 따른 자산,,http://www.xbrl.org/2003/role/exampleRef,IFRS,4,IG20,2021-01-01,c,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_IG20_c&doctype=Implementation%20Guidance&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1910,ifrs-full,AssetsUnderReinsuranceCeded,재보험의 출재에 따른 자산,,http://www.xbrl.org/2003/role/exampleRef,IFRS,4,37,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_37_b&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1911,ifrs-full,ExpenseForPolicyholderClaimsAndBenefitsWithoutReductionForReinsuranceHeld,보험계약자에 대한 것으로서 재보험에서 차감하지 않는 보험금과 급부금,,http://www.xbrl.org/2003/role/exampleRef,IAS,1,85,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_85&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1912,ifrs-full,ExpenseForPolicyholderClaimsAndBenefitsWithoutReductionForReinsuranceHeld,보험계약자에 대한 것으로서 재보험에서 차감하지 않는 보험금과 급부금,,http://www.xbrl.org/2003/role/exampleRef,IFRS,4,IG24,2021-01-01,c,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_IG24_c&doctype=Implementation%20Guidance&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1913,ifrs-full,ExpenseForPolicyholderClaimsAndBenefitsWithoutReductionForReinsuranceHeld,보험계약자에 대한 것으로서 재보험에서 차감하지 않는 보험금과 급부금,,http://www.xbrl.org/2003/role/exampleRef,IFRS,4,37,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_37_b&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1914,ifrs-full,DescriptionOfAccountingPolicyForLoansAndReceivablesExplanatory,대여금 및 수취채권의 회계정책에 대한 기술 [문장영역],,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,117,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_117_b&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1915,ifrs-full,IncomeTaxRelatingToAvailableforsaleFinancialAssetsOfOtherComprehensiveIncome,"기타포괄손익에 포함되는, 매도가능금융자산에 관련되는 법인세",,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,90,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_90&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1916,ifrs-full,IncomeTaxRelatingToAvailableforsaleFinancialAssetsOfOtherComprehensiveIncome,"기타포괄손익에 포함되는, 매도가능금융자산에 관련되는 법인세",,http://www.xbrl.org/2003/role/disclosureRef,IAS,12,81,2021-01-01,ab,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=12&code=ifrs-tx-2017-en-b&anchor=para_81_ab&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1917,ifrs-full,LiabilitiesArisingFromInsuranceContracts,발행된 보험계약과 재보험계약에 따른 부채,,http://www.xbrl.org/2003/role/exampleRef,IAS,1,55,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_55&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1918,ifrs-full,LiabilitiesArisingFromInsuranceContracts,발행된 보험계약과 재보험계약에 따른 부채,,http://www.xbrl.org/2003/role/disclosureRef,IFRS,4,37,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_37_b&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1919,ifrs-full,LiabilitiesArisingFromInsuranceContracts,발행된 보험계약과 재보험계약에 따른 부채,,http://www.xbrl.org/2003/role/disclosureRef,IFRS,4,37,2021-01-01,e,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_37_e&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1920,ifrs-full,LiabilitiesArisingFromInsuranceContracts,발행된 보험계약과 재보험계약에 따른 부채,,http://www.xbrl.org/2003/role/exampleRef,IFRS,4,IG20,2021-01-01,a,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_IG20_a&doctype=Implementation%20Guidance&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1921,ifrs-full,LiabilitiesArisingFromInsuranceContracts,발행된 보험계약과 재보험계약에 따른 부채,,http://www.xbrl.org/2003/role/exampleRef,IFRS,4,IG37,2021-01-01,a,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_IG37_a&doctype=Implementation%20Guidance&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1922,ifrs-full,DescriptionOfAccountingPolicyForAvailableforsaleFinancialAssetsExplanatory,매도가능금융자산의 회계정책에 대한 기술 [문장영역],,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,117,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_117_b&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1923,ifrs-full,InterestIncomeOnLoansAndReceivables,대여금 및 채권으로부터의 이자수익,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,112,2021-01-01,c,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_112_c&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1924,ifrs-full,ReclassificationAdjustmentsOnAvailableforsaleFinancialAssetsBeforeTax,매도가능금융자산의 세전재분류조정,,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,92,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_92&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1925,ifrs-full,ReclassificationAdjustmentsOnAvailableforsaleFinancialAssetsBeforeTax,매도가능금융자산의 세전재분류조정,,http://www.xbrl.org/2003/role/disclosureRef,IFRS,7,20,2021-01-01,a,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=7&code=ifrs-tx-2017-en-b&anchor=para_20_a_ii&doctype=Standard&book=b,2021-03-24,ii,Expiry date 2023-01-01,,dart_all,
1926,ifrs-full,ReserveOfDiscretionaryParticipationFeaturesMember,임의배당요소적립금 [구성요소],,http://www.xbrl.org/2003/role/exampleRef,IAS,1,108,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_108&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1927,ifrs-full,ReserveOfDiscretionaryParticipationFeaturesMember,임의배당요소적립금 [구성요소],,http://www.xbrl.org/2003/role/disclosureRef,IFRS,4,IG22,2021-01-01,f,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_IG22_f&doctype=Implementation%20Guidance&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1928,ifrs-full,ReserveOfDiscretionaryParticipationFeaturesMember,임의배당요소적립금 [구성요소],,http://www.xbrl.org/2003/role/disclosureRef,IFRS,4,34,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_34_b&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1929,ifrs-full,IncomeFromContractsWithReinsurers,재보험자와의 계약에서 발생한 수익,,http://www.xbrl.org/2003/role/exampleRef,IAS,1,85,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_85&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1930,ifrs-full,IncomeFromContractsWithReinsurers,재보험자와의 계약에서 발생한 수익,,http://www.xbrl.org/2003/role/exampleRef,IFRS,4,IG24,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_IG24_b&doctype=Implementation%20Guidance&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1931,ifrs-full,IncomeFromContractsWithReinsurers,재보험자와의 계약에서 발생한 수익,,http://www.xbrl.org/2003/role/exampleRef,IFRS,4,37,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_37_b&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1932,ifrs-full,AssetsUnderInsuranceContractsAndReinsuranceContractsIssued,발행된 보험계약과 재보험계약에 따른 자산,,http://www.xbrl.org/2003/role/exampleRef,IAS,1,55,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_55&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1933,ifrs-full,AssetsUnderInsuranceContractsAndReinsuranceContractsIssued,발행된 보험계약과 재보험계약에 따른 자산,,http://www.xbrl.org/2003/role/exampleRef,IFRS,4,IG20,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_IG20_b&doctype=Implementation%20Guidance&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1934,ifrs-full,AssetsUnderInsuranceContractsAndReinsuranceContractsIssued,발행된 보험계약과 재보험계약에 따른 자산,,http://www.xbrl.org/2003/role/exampleRef,IFRS,4,37,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_37_b&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1935,ifrs-full,InterestIncomeOnAvailableforsaleFinancialAssets,매도가능금융자산으로부터의 이자수익,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,112,2021-01-01,c,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_112_c&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1936,ifrs-full,OtherComprehensiveIncomeNetOfTaxAvailableforsaleFinancialAssets,"세후기타포괄손익, 매도가능금융자산",,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,91,2021-01-01,a,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_91_a&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1937,ifrs-full,OtherComprehensiveIncomeNetOfTaxAvailableforsaleFinancialAssets,"세후기타포괄손익, 매도가능금융자산",,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,7,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_7&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1938,ifrs-full,ExpensesArisingFromReinsuranceHeld,보유하고 있는 재보험에서 발생한 비용,,http://www.xbrl.org/2003/role/exampleRef,IAS,1,85,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_85&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1939,ifrs-full,ExpensesArisingFromReinsuranceHeld,보유하고 있는 재보험에서 발생한 비용,,http://www.xbrl.org/2003/role/exampleRef,IFRS,4,IG24,2021-01-01,d,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_IG24_d&doctype=Implementation%20Guidance&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1940,ifrs-full,ExpensesArisingFromReinsuranceHeld,보유하고 있는 재보험에서 발생한 비용,,http://www.xbrl.org/2003/role/exampleRef,IFRS,4,37,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_37_b&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1941,ifrs-full,ReserveOfGainsAndLossesOnRemeasuringAvailableforsaleFinancialAssetsMember,매도가능금융자산의 재측정손익 적립금 [구성요소],,http://www.xbrl.org/2003/role/exampleRef,IAS,1,108,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_108&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1942,ifrs-full,OtherComprehensiveIncomeBeforeTaxAvailableforsaleFinancialAssets,"세전기타포괄손익, 매도가능금융자산",,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,91,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_91_b&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1943,ifrs-full,OtherComprehensiveIncomeBeforeTaxAvailableforsaleFinancialAssets,"세전기타포괄손익, 매도가능금융자산",,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,7,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_7&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1944,ifrs-full,ReserveOfDiscretionaryParticipationFeatures,임의배당요소적립금,,http://www.xbrl.org/2003/role/exampleRef,IAS,1,78,2021-01-01,e,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_78_e&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1945,ifrs-full,ReserveOfDiscretionaryParticipationFeatures,임의배당요소적립금,,http://www.xbrl.org/2003/role/disclosureRef,IFRS,4,IG22,2021-01-01,f,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_IG22_f&doctype=Implementation%20Guidance&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1946,ifrs-full,ReserveOfDiscretionaryParticipationFeatures,임의배당요소적립금,,http://www.xbrl.org/2003/role/disclosureRef,IFRS,4,34,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_34_b&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1947,ifrs-full,RevenueFromInsuranceContractsIssuedWithoutReductionForReinsuranceHeld,보험계약에서 발생한 것으로서 재보험에서 차감하지 않는 수익,,http://www.xbrl.org/2003/role/exampleRef,IAS,1,85,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_85&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1948,ifrs-full,RevenueFromInsuranceContractsIssuedWithoutReductionForReinsuranceHeld,보험계약에서 발생한 것으로서 재보험에서 차감하지 않는 수익,,http://www.xbrl.org/2003/role/exampleRef,IFRS,4,IG24,2021-01-01,a,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_IG24_a&doctype=Implementation%20Guidance&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1949,ifrs-full,RevenueFromInsuranceContractsIssuedWithoutReductionForReinsuranceHeld,보험계약에서 발생한 것으로서 재보험에서 차감하지 않는 수익,,http://www.xbrl.org/2003/role/exampleRef,IFRS,4,37,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=4&code=ifrs-tx-2021-en-b&anchor=para_37_b&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1950,ifrs-full,GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsBeforeTax,매도가능금융자산의 세전재측정이익(손실),,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,91,2021-01-01,b,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_91_b&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1951,ifrs-full,GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsBeforeTax,매도가능금융자산의 세전재측정이익(손실),,http://www.xbrl.org/2003/role/disclosureRef,IFRS,7,20,2021-01-01,a,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=7&code=ifrs-tx-2017-en-b&anchor=para_20_a_ii&doctype=Standard&book=b,2021-03-24,ii,Expiry date 2023-01-01,,dart_all,
1952,ifrs-full,InterestIncomeOnHeldtomaturityInvestments,만기보유금융자산으로부터의 이자수익,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,112,2021-01-01,c,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_112_c&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1953,ifrs-full,ReclassificationAdjustmentsOnAvailableforsaleFinancialAssetsNetOfTax,매도가능금융자산의 세후재분류조정,,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,92,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2017-en-b&anchor=para_92&doctype=Standard&forcepdf=true,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1954,ifrs-full,ReclassificationAdjustmentsOnAvailableforsaleFinancialAssetsNetOfTax,매도가능금융자산의 세후재분류조정,,http://www.xbrl.org/2003/role/disclosureRef,IFRS,7,20,2021-01-01,a,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IFRS&num=7&code=ifrs-tx-2017-en-b&anchor=para_20_a_ii&doctype=Standard&book=b,2021-03-24,ii,Expiry date 2023-01-01,,dart_all,
1955,ifrs-full,NetEarnedPremium,순가득보험료,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,85,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_85&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1956,ifrs-full,ClaimsAndBenefitsPaidNetOfReinsuranceRecoveries,보험금 지급액(재보험부분제외),,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,85,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_85&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1957,ifrs-full,IncreaseDecreaseInProvisionForUnearnedPremium,미경과보험료를 위한 충당금의 증가(감소),,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,85,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_85&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1958,ifrs-full,PremiumsWrittenNetOfReinsurance,보험료 수령액(재보험부분제외),,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,85,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_85&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1959,ifrs-full,IncreaseDecreaseInInsuranceLiabilitiesNetOfReinsurance,보험부채의 증가(감소)(재보험부분제외),,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,85,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_85&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1960,ifrs-full,AcquisitionAndAdministrationExpenseRelatedToInsuranceContracts,보험계약과 관련된 취득과 관리 비용,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,85,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-b&anchor=para_85&doctype=Standard&book=b,2021-03-24,,Expiry date 2023-01-01,,dart_all,
1961,ifrs-full,DisclosureOfAttributionOfExpensesByNatureToTheirFunctionTable,성격별 비용의 기능별 배분 공시 [표],,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,104,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-r&anchor=para_104&doctype=Standard,2021-03-24,,,,dart_all,
1962,ifrs-full,DisclosureOfAttributionOfExpensesByNatureToTheirFunctionTable,성격별 비용의 기능별 배분 공시 [표],,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,112,2021-01-01,c,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-r&anchor=para_112_c&doctype=Standard,2021-03-24,,,,dart_all,
1963,ifrs-full,DisclosureOfAttributionOfExpensesByNatureToTheirFunctionExplanatory,성격별 비용의 기능별 배분 공시 [문장영역],,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,104,2021-01-01,,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-r&anchor=para_104&doctype=Standard,2021-03-24,,,,dart_all,
1964,ifrs-full,DisclosureOfAttributionOfExpensesByNatureToTheirFunctionExplanatory,성격별 비용의 기능별 배분 공시 [문장영역],,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,112,2021-01-01,c,http://eifrs.ifrs.org/eifrs/xifrs-link?type=IAS&num=1&code=ifrs-tx-2021-en-r&anchor=para_112_c&doctype=Standard,2021-03-24,,,,dart_all,
